0.03,-0.05,9.89,0.00,-0.01,-0.06
-0.09,-0.05,9.90,0.00,-0.01,0.06
-0.07,-0.01,10.04,0.06,0.11,-0.19
-0.01,0.01,10.09,0.06,-0.07,0.06
-0.04,0.04,10.00,-0.24,-0.01,-0.00
-0.05,-0.02,10.04,-0.06,0.23,-0.12
-0.03,-0.04,9.93,-0.12,-0.01,0.06
-0.00,-0.01,9.83,-0.18,-0.07,-0.12
-0.04,0.01,9.90,0.00,0.11,0.06
-0.05,-0.03,9.95,0.06,0.23,0.06
-0.05,0.04,10.02,0.06,0.11,-0.06
0.01,-0.02,9.88,-0.12,0.05,-0.06
-0.04,0.03,9.94,-0.12,0.05,-0.12
0.01,-0.01,10.04,-0.06,-0.01,-0.00
-0.11,0.04,9.97,0.06,-0.01,-0.00
0.01,-0.06,9.91,0.06,-0.07,0.18
-0.06,0.02,10.00,-0.12,0.05,0.06
-0.05,0.02,9.93,0.00,0.05,-0.06
-0.05,-0.02,9.89,0.00,-0.07,-0.06
-0.01,-0.02,9.92,0.00,0.11,-0.06
-0.06,0.02,9.98,0.06,-0.07,-0.00
-0.04,0.04,9.99,0.00,0.05,0.06
-0.08,-0.01,10.02,-0.12,0.05,-0.06
-0.01,-0.07,9.86,0.00,-0.01,0.06
-0.02,-0.03,9.98,-0.06,-0.07,-0.06
-0.12,0.05,9.94,-0.06,0.17,-0.00
-0.06,-0.03,10.00,0.00,-0.13,-0.19
-0.01,0.01,9.86,0.06,-0.19,-0.00
-0.02,0.06,9.96,-0.12,0.23,-0.12
-0.02,-0.01,9.92,-0.06,-0.01,-0.00
-0.06,0.01,9.96,0.06,0.05,0.06
-0.04,0.05,9.93,-0.06,-0.13,0.12
-0.02,0.03,9.93,-0.12,0.36,-0.12
-0.02,0.07,10.01,0.06,0.30,-0.12
-0.09,-0.03,10.04,0.06,0.23,0.12
-0.04,0.00,9.88,0.06,-0.19,-0.00
-0.04,-0.03,9.95,0.06,0.05,-0.06
-0.08,-0.04,9.94,0.00,-0.13,0.24
-0.04,0.04,9.96,0.06,-0.07,-0.06
-0.07,-0.07,9.89,0.06,-0.19,0.12
-0.07,0.00,10.01,-0.24,-0.01,-0.06
-0.04,-0.02,9.98,0.00,0.05,-0.00
-0.11,0.01,9.83,-0.06,-0.13,-0.31
-0.09,-0.03,9.99,0.06,-0.07,0.06
-0.09,-0.06,9.97,-0.12,0.11,0.06
-0.10,0.01,10.01,0.00,0.23,-0.19
-0.04,0.07,9.93,0.12,-0.13,0.18
0.01,-0.03,9.92,0.06,-0.19,0.06
-0.00,-0.03,9.92,-0.06,-0.01,-0.00
