0.24,-0.11,9.83,0.12,1.76,-0.10
0.25,-0.08,9.93,0.12,2.13,0.02
0.20,-0.08,9.94,-0.06,-1.10,0.02
0.25,-0.06,9.91,-0.00,-0.16
0.24,-0.11,9.83,0.12,1.76,-0.10
0.25,-0.08,9.93,0.12,2.13,0.02
0.20,-0.08,9.94,-0.06,-1.10,0.02
0.25,-0.06,9.91,-0.00,-1.9,-0.160.10
0.22,-0.11,9.87,-0.19,-1.83,1.22
0.26,-0.05,9.78,-0.19,-2.13,1.10
0.18,-0.15,9.97,-0.13,-0.91,0.92
0.26,-0.09,9.90,0.12,0.24,0.98
0.22,-0.08,9.87,-0.06,0.18,0.92
0.20,-0.08,9.95,-0.13,-0.43,1.04
0.18,-0.10,9.93,-0.06,-0.49,1.10
0.15,0.00,9.88,-0.00,-0.73,1.04
0.25,-0.01,9.89,-0.13,-1.89,1.04
0.22,-0.01,9.94,-0.00,-0.55,1.04
0.24,-0.09,9.92,-0.19,-0.24,0.86
0.22,-0.08,9.83,-0.06,-0.12,0.98
0.21,-0.08,9.89,-0.13,-0.18,1.04
0.31,-0.07,9.88,-0.06,0.55,1.10
0.21,-0.08,9.81,-0.00,-0.73,0.98
0.17,-0.01,9.97,0.06,-0.18,1.04
0.19,-0.04,9.89,-0.13,-0.30,1.16
0.24,-0.10,9.92,-0.00,-0.73,1.04
0.16,-0.02,9.86,-0.00,-1.16,0.98
0.28,-0.09,9.95,-0.31,-0.37,0.92
0.25,-0.04,9.95,-0.00,-0.67,0.98
0.21,-0.04,10.02,-0.00,-0.30,0.98
0.18,-0.03,9.80,-0.13,-0.30,0.98
0.20,-0.03,9.88,-0.06,0.00,1.10
0.19,-0.04,9.93,0.12,0.06,0.86
0.19,-0.06,9.89,-0.13,-1.04,0.92
0.20,-0.11,9.87,-0.06,-1.16,1.04
0.20,-0.10,9.83,0.12,0.12,0.98
0.22,-0.06,9.82,-0.00,0.37,0.92
0.21,-0.11,9.95,0.06,0.73,0.98
0.24,-0.04,9.89,0.06,0.67,0.98
0.22,-0.07,9.88,-0.19,0.67,0.98
0.20,-0.06,9.89,0.06,-0.37,1.04
0.21,-0.05,9.98,-0.19,-1.10,0.92
0.26,-0.07,9.92,-0.06,-0.55,0.98
0.16,-0.06,9.86,-0.00,-1.16,1.10
0.24,-0.05,9.98,0.06,-0.85,1.04
0.21,0.02,9.87,0.06,0.00,1.10
0.18,-0.04,9.87,-0.06,-0.37,0.98
0.28,-0.08,9.95,-0.19,-0.49,1.10
0.22,-0.13,9.80,-0.31,0.00,1.16
0.28,-0.06,9.93,-0.13,0.12,0.92
0.26,0.02,9.85,0.06,-0.49,0.98
0.20,-0.07,9.98,0.06,0.24,0.98
0.26,-0.07,9.95,-0.06,0.06,0.98
0.18,-0.10,9.93,-0.06,0.37,0.98
0.20,-0.05,9.93,-0.06,-0.61,1.16
0.17,-0.07,9.96,0.06,-0.67,1.16
0.25,-0.03,9.80,-0.13,-0.67,1.10
0.26,-0.05,9.87,-0.06,0.43,1.04
0.25,-0.09,9.92,-0.13,0.18,0.98
0.27,-0.10,9.93,-0.00,0.24,0.92
0.16,-0.03,9.89,-0.00,-0.06,1.04
0.15,-0.07,9.99,-0.00,-0.85,0.98
0.20,-0.07,9.90,-0.06,-0.85,0.98
0.25,-0.02,9.92,-0.13,-0.37,1.10
0.16,-0.06,9.76,-0.13,-0.91,1.34
0.34,-0.06,9.70,-0.06,1.16,1.10
0.23,-0.10,9.89,-0.13,-0.91,1.04
0.25,-0.05,9.90,0.06,0.18,1.10
0.27,-0.02,9.82,-0.00,0.73,1.04
